Step,Active_Loads,Completed_Loads,Expired_Loads,Coverage_Rate,Total_Revenue,Total_Cost,Total_Penalties,Broker_Profit,Available_Carriers,Average_Carrier_Revenue,Consecutive_Failures,Week,Profit_Margin,Load_Success_Rate
35,0,29,0,1.0,16966.150367765527,7889.929999999998,0,9076.22036776553,20,394.4965,0,0,53.49605049481172,1.0
36,0,29,0,1.0,16966.150367765527,7889.929999999998,0,9076.22036776553,20,394.4965,0,0,53.49605049481172,1.0
37,0,29,0,1.0,16966.150367765527,7889.929999999998,0,9076.22036776553,20,394.4965,0,0,53.49605049481172,1.0
38,0,29,0,1.0,16966.150367765527,7889.929999999998,0,9076.22036776553,20,394.4965,0,0,53.49605049481172,1.0
39,0,30,0,1.0,17534.048687002567,8123.039999999997,0,9411.00868700257,20,406.152,0,0,53.67276465918936,1.0
40,0,30,0,1.0,17534.048687002567,8123.039999999997,0,9411.00868700257,20,406.152,0,0,53.67276465918936,1.0
41,0,31,0,1.0,18128.659570197775,8360.379999999997,0,9768.279570197778,20,418.01900000000006,0,0,53.88307686165685,1.0
42,0,31,0,1.0,18128.659570197775,8360.379999999997,0,9768.279570197778,20,418.01900000000006,0,0,53.88307686165685,1.0
43,0,31,0,1.0,18128.659570197775,8360.379999999997,0,9768.279570197778,20,418.01900000000006,0,0,53.88307686165685,1.0
44,0,32,0,1.0,18657.308946529563,8604.129999999997,0,10053.178946529566,20,430.20650000000006,0,0,53.883327844016605,1.0
45,0,32,0,1.0,18657.308946529563,8604.129999999997,0,10053.178946529566,20,430.20650000000006,0,0,53.883327844016605,1.0
46,0,33,0,1.0,19241.36516063341,8850.219999999998,0,10391.145160633412,20,442.5110000000001,0,0,54.00419915055208,1.0
47,0,33,0,1.0,19241.36516063341,8850.219999999998,0,10391.145160633412,20,442.5110000000001,0,0,54.00419915055208,1.0
48,0,34,0,1.0,19802.820161183743,9107.069999999998,0,10695.750161183745,20,455.3535,0,0,54.01124725734211,1.0
49,0,34,0,1.0,19802.820161183743,9107.069999999998,0,10695.750161183745,20,455.3535,0,0,54.01124725734211,1.0
50,0,35,0,1.0,20423.820752400316,9398.199999999997,0,11025.620752400318,20,469.91,0,0,53.98412415612553,1.0
51,0,36,0,1.0,20978.372657686254,9659.929999999997,0,11318.442657686257,20,482.9965,0,0,53.95291065886991,1.0
52,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
53,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
54,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
55,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
56,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
57,0,37,0,1.0,21559.53838083137,9950.709999999997,0,11608.828380831374,20,497.53550000000007,0,0,53.84544036041517,1.0
58,0,38,0,1.0,22090.236877567233,10178.099999999997,0,11912.136877567236,20,508.90500000000003,0,0,53.924894257988164,1.0
59,0,38,0,1.0,22090.236877567233,10178.099999999997,0,11912.136877567236,20,508.90500000000003,0,0,53.924894257988164,1.0
60,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
61,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
62,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
63,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
64,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
65,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
66,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
67,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
68,0,39,0,1.0,22701.608715959796,10465.129999999997,0,12236.478715959798,20,523.2565000000001,0,0,53.901372669493895,1.0
69,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,0,53.68760447324495,1.0
70,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,1,53.68760447324495,1.0
71,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,1,53.68760447324495,1.0
72,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,1,53.68760447324495,1.0
73,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,1,53.68760447324495,1.0
74,0,40,0,1.0,23291.2158339303,10786.719999999998,0,12504.495833930301,20,539.336,0,1,53.68760447324495,1.0
