Step,Active_Loads,Completed_Loads,Expired_Loads,Coverage_Rate,Total_Revenue,Total_Cost,Total_Penalties,Broker_Profit,Available_Carriers,Average_Carrier_Revenue,Consecutive_Failures,Week,Profit_Margin,Load_Success_Rate
89,0,51,0,1.0,29404.62897073441,15076.569999999998,0,14328.058970734413,15,1005.1046666666668,0,1,48.72722245533083,1.0
90,0,51,0,1.0,29404.62897073441,15076.569999999998,0,14328.058970734413,15,1005.1046666666668,0,1,48.72722245533083,1.0
91,0,51,0,1.0,29404.62897073441,15076.569999999998,0,14328.058970734413,15,1005.1046666666668,0,1,48.72722245533083,1.0
92,0,51,0,1.0,29404.62897073441,15076.569999999998,0,14328.058970734413,15,1005.1046666666668,0,1,48.72722245533083,1.0
93,0,51,0,1.0,29404.62897073441,15076.569999999998,0,14328.058970734413,15,1005.1046666666668,0,1,48.72722245533083,1.0
94,0,52,0,1.0,29986.02734183893,15291.799999999997,0,14694.227341838932,15,1019.4533333333335,0,1,49.003581482553905,1.0
95,0,52,0,1.0,29986.02734183893,15291.799999999997,0,14694.227341838932,15,1019.4533333333335,0,1,49.003581482553905,1.0
96,0,53,0,1.0,30560.883461392565,15644.889999999998,0,14915.993461392567,15,1042.9926666666668,0,1,48.80746814873948,1.0
97,0,53,0,1.0,30560.883461392565,15644.889999999998,0,14915.993461392567,15,1042.9926666666668,0,1,48.80746814873948,1.0
98,0,54,0,1.0,31128.962427270173,15933.479999999998,0,15195.482427270175,15,1062.2320000000002,0,1,48.81461263854508,1.0
99,0,54,0,1.0,31128.962427270173,15933.479999999998,0,15195.482427270175,15,1062.2320000000002,0,1,48.81461263854508,1.0
